Имя объекта	Тип объекта	Содержание	Коментарий
Restricted_Inet_Servers	Группа IP адресов	10.13.128.13; 10.13.128.222; 10.13.128.231; 10.13.128.233; 10.13.128.255; 10.13.128.57; 10.13.129.0; 10.13.129.129; 10.13.129.141; 10.13.129.142; 10.13.129.143; 10.13.129.144; 10.13.129.146; 10.13.129.149; 10.13.129.182; 10.13.129.186; 10.13.129.190; 10.13.129.226; 10.13.129.230; 10.13.129.236; inside; 10.13.129.35; mos-wsus-2k12; 10.13.129.65; 10.13.129.70; 10.13.130.180; 10.13.130.191; 10.13.130.198; 10.13.130.37; 10.13.130.7; 10.5.168.107; 10.5.168.20; 10.5.168.220; 10.5.168.23; 10.5.168.243; 10.5.168.31; 10.5.168.37; 10.5.168.57; 10.5.168.58; 10.5.169.135; WSUS_Server; 10.5.169.195; 10.5.169.196; 10.5.169.213; 10.5.169.220; 10.5.169.239; 10.5.169.240; 10.5.169.51; PROTON; 10.13.130.146; 10.13.130.71; 10.13.129.185; mos-fend-2k12; mos-is1-2k12; amur-orcl2-2k12; amur-orcl1-2k12; MOS-ETRANTERM-2K3; MOS-ETRTS1-2K12; 10.13.131.227; mos-pmon-ol7; 10.13.132.91; 10.13.132.92; 10.13.132.93; 10.13.132.94; 10.13.132.95; mos-neptun-2k12; mos-pluton-2k12; mos-triton-2k12; 10.13.130.179; 10.13.132.138; 10.13.131.14; 10.13.130.207; mos-direct-2k12; mos-tzs-el7; 10.5.169.53; 10.5.169.58; 10.5.168.17; 10.13.128.84; firepower; 10.13.130.213; 10.5.168.252; 10.5.168.40; 10.5.168.41; 10.7.233.26; 10.7.233.27; 10.7.65.19; 10.7.65.18; 10.7.237.71; 10.7.237.72; 10.7.235.180; 10.7.235.181; 10.7.240.134; 10.7.240.136; 10.13.204.5; 10.13.204.6; 10.13.130.141; 10.13.131.134; 10.13.128.228; 10.13.131.70; 10.13.130.196; 10.13.131.133; 10.13.130.75; 10.13.132.12; 10.5.169.200; 10.5.139.114; 10.13.131.130; 10.13.130.145; 10.13.129.63; 10.13.132.172; 10.13.129.20; 10.13.129.22; 10.13.129.104; 10.250.4.179; 10.250.4.180; 10.13.132.107; MOS_NTP_SERVER; 10.13.131.100; 10.13.131.155; 10.13.129.183; 10.13.129.181; 10.13.132.100; 10.13.131.77; 10.13.132.24; 10.13.130.166; 10.13.130.186; 10.5.169.168	Deny_Internet_access_for_servers
AIS_RD	Группа IP адресов	10.13.130.244; 10.13.140.76	Testovaya ekspluataciya po pismu 26632611
Urengoy_Network_Hardware	Группа IP адресов	Urengoy_S-Terra_1; Urengoy_Router; Urengoy_Firewall; Urengoy_S-Terra_2; 10.7.240.9; 10.7.240.254; 10.7.240.194	
Surgut_Network_Hardware	Группа IP адресов	10.7.236.146; Surgut_Firewall; Surgut_Router; Surgut_S-Terra_OGP; Surgut_S-Terra_Office; Surgut_S-Terra_Prom; Surgut_Switch; Surgut_S-Terra_SNE; Surgut_S-Terra_PromIn	
Uhta_Network_Hardware	Группа IP адресов	Uhta_S-Terra_1; Uhta_S-Terra_2; Uhta_Router; Uhta_Firewall; 10.7.235.194	
ASUP_PD	Группа IP адресов	BobkovaEV(standalone); PolovnikovaYA; PodolskayaOS; SavinovaNY(standalone); TrishinaNV; DmitrievaEG; AntropovAV; KonyukhovAY; OrlovIA; PlotnikovaYuA; Kulikova; 10.13.129.85; 10.5.168.100; 10.13.129.204; 10.13.132.42; 10.13.130.136; 10.13.130.172; 10.13.132.174; 10.13.128.156; 10.13.132.9	Dostup_k_ASUP_PD_PH4
TMG_SQL_TCP-UPD	Протокол TCP/UDP	1433; 1434; 10043	test traffic counters from TMG
TCPUDP	Протокол TCP/UDP	tcp, udp, без номеров порта	
ASUP_PD-Farms	Группа IP адресов	ASUP_PD-Farm; ASUP_PD-Farm2; ASUP_PD-Farm1; ASUP_PD-Farm3	Ferma_ASUP_for_PH4
TMG_SQL_TCP	Протокол TCP	1433; 1434	test traffic counters from TMG
DM_INLINE_TCP_1	Протокол TCP	13000; 14000	
DM_INLINE_TCP_2	Протокол TCP	13000; 14000	
Taxcom_webinar	Группа IP адресов	188.127.242.89; 188.127.242.90; 188.127.248.17; 188.127.248.18; 83.222.96.122; 83.222.96.123; 83.222.97.138; 83.222.97.139	29675760
RTMP	IP адрес	1935	Real Time Messaging Protocol
ASSOIS_Servers	Группа IP адресов	assois.ss.gazprom.ru; kiap-web.ss.gazprom.ru	
ASSOIS_users	IP адрес	KonovalovVV	
DM_INLINE_TCP_3	Протокол TCP	3389; 1521	
DM_INLINE_TCP_4	Протокол TCP	10050; 10051	
DM_INLINE_TCP_6	Протокол TCP	10050; 10051	
DM_INLINE_TCP_8	Протокол TCP	15000	
Kaspersky_add	IP адрес	15000	
DM_INLINE_TCP_9	Протокол TCP	15000	
DM_INLINE_NETWORK_1	Группа IP адресов	10.13.204.5; 10.13.204.6	
DM_INLINE_NETWORK_2	Группа IP адресов	10.13.129.140; 10.13.129.141; 10.13.129.142; 10.13.129.147; 10.13.129.185; 10.13.129.221; 10.13.129.222; 10.13.129.224; 10.5.169.250	
DM_INLINE_NETWORK_3	Группа IP адресов	10.13.129.140; 10.13.129.141; 10.13.129.142; 10.13.129.147; 10.13.129.185; 10.13.129.221; 10.13.129.222; 10.13.129.224; 10.5.169.250	
DM_INLINE_NETWORK_4	Группа IP адресов	10.13.204.5; 10.13.204.6	
DM_INLINE_SERVICE_1	Протокол TCP/ICMP	1024	
DM_INLINE_TCP_11	Протокол TCP	5080; 80	
DM_INLINE_NETWORK_5	Группа IP адресов	10.5.168.115; KozlovSS	
Amur_nets	IP адрес	10.14.88.0 255.255.254.0	
DM_INLINE_TCP_12	Протокол TCP	80; 443; 22	
SIP_TCP	Протокол TCP	3230-3231; 5060-5061; 1720	
SIP_UDP	Протокол UDP	3230-3280; 5061; 5060	
Obmen_1C	Группа IP адресов	f4.fss.ru; pnv-rpn.ru; report.keydisk.ru; service.fsrar.ru	32770994
DM_INLINE_TCP_7	Протокол TCP	80; 443; 22	
DM_INLINE_SERVICE_9	Протокол TCP/ICMP	22	
Servers_Gazprompererabotka_temp1	Группа IP адресов	10.56.131.89; 10.56.131.90; 10.56.131.93; 10.56.3.89; 10.56.3.90; 10.56.3.93	
Servers_Gazprompererabotka_temp2	Группа IP адресов	10.56.160.87; 10.56.162.87; 10.56.32.87; 10.56.34.87	
DM_INLINE_NETWORK_10	Группа IP адресов	Servers_Gazprompererabotka_temp1; Servers_Gazprompererabotka_temp2	
DM_INLINE_NETWORK_9	Группа IP адресов	Servers_Gazprompererabotka_temp1; Servers_Gazprompererabotka_temp2	
MapInfo	Протокол TCP	5432	
DM_INLINE_TCP_10	Протокол TCP	80; 443	
Black_list	Группа IP адресов	104.126.164.240; 162.125.248.1; 162.125.66.1; 17.110.240.82; 17.167.144.39; 17.167.146.43; 17.178.106.77; 192.110.0.131; 199.101.133.146; 199.101.133.155; 199.101.133.29; 199.101.133.58; 199.101.134.234; 204.155.146.95; 204.155.147.26; 204.155.148.9; 204.155.149.41; 204.155.149.42; 204.155.149.43; 204.155.149.67; 204.155.149.72; 204.155.149.73; 204.155.149.76; 204.155.149.81; 204.155.149.87; 204.79.197.217; 208.88.227.172; 208.88.227.173; 213.180.193.50; 217.69.139.5; 217.69.139.6; 217.69.139.7; 31.216.148.10; 31.216.148.12; 54.239.26.209; 54.239.31.69; 64.14.192.234; 74.117.178.183; 74.117.178.186; 74.117.178.58; 74.117.178.90; 74.120.8.12; 74.120.8.13; 74.120.8.14; 74.120.8.226; 74.120.8.6; 74.120.8.7; 74.201.86.28; 78.140.185.27; 91.219.194.2; 94.100.180.5; 94.100.180.6; 94.100.180.7; 208.91.196.74; 5.187.1.122; 64.233.161.194; 216.58.211.142; 173.194.222.194	
DM_INLINE_TCP_14	Протокол TCP	443; 22	
DM_INLINE_TCP_15	Протокол TCP	443; 22	
DM_INLINE_TCP_16	Протокол TCP	443; 22	
DM_INLINE_TCP_17	Протокол TCP	443; 22	
DM_INLINE_TCP_18	Протокол TCP	443; 22	
DM_INLINE_TCP_19	Протокол TCP	443; 22	
PayCalendar_Users	Группа IP адресов	10.13.128.47; VoronovaAK; ws-gen; GorshkovDV; InzhievskiyAL; ZaytcevaMA; ws-nnt; ListkovDA; ws-evf; 10.13.128.181; 10.13.130.118; 10.13.130.86	40110877
DM_INLINE_TCP_21	Протокол TCP	10050; 25	
DM_INLINE_NETWORK_15	Группа IP адресов	10.13.204.14; KSC_Yamal	
MapInfoUsers	Группа IP адресов	10.7.233.111; 10.13.204.102; 10.7.233.67	test users for MapInfoServer
DM_INLINE_TCP_5	Протокол TCP	80; 443	
DM_INLINE_NETWORK_6	Группа IP адресов	10.13.141.13; 10.13.141.15	
DM_INLINE_NETWORK_7	Группа IP адресов	10.13.141.13; 10.13.141.15	
DM_INLINE_SERVICE_3	Протокол TCP/UDP	464; 53; 3268; 3269; 135; 389; 88; 445	
DM_INLINE_SERVICE_4	Протокол TCP/UDP	464; 53; 445; 135; 389; 3268; 3269; 88	
Kaspersky15000	Протокол TCP/UDP	15000	
DM_INLINE_TCP_13	Протокол TCP	Kaspersky;
Kaspersky15000	
DM_INLINE_TCP_20	Протокол TCP	Kaspersky
Kaspersky15000	
DM_INLINE_TCP_22	Протокол TCP	10050; 10051	
Directum_port	Протокол TCP	32300; 32320; 445; 80; 443; 1433	Ports group for incoming connection from branch office to head office directum server
Filials_ATS	Группа IP адресов	10.13.204.57; 10.7.232.139; 10.7.232.140; 10.7.232.146; 10.7.232.149; 10.7.64.125; 10.7.232.141; 10.7.235.26; 10.7.235.27	
DM_INLINE_NETWORK_11	Группа IP адресов	217.175.155.126; 62.33.203.132	
DM_INLINE_NETWORK_12	Группа IP адресов	10.14.96.0 255.255.255.0; 10.14.97.0 255.255.255.0; All_Filials	
DM_INLINE_NETWORK_14	Группа IP адресов	10.5.139.239; VipNet2	
DSS_Clients	Группа IP адресов	10.13.129.215; 10.13.129.60; 10.13.132.189	
RDGroup	Протокол TCP	49152-65535	
RDS_Servers	Группа IP адресов	mos-rdsn1-2k12; mos-rdsn2-2k12; mos-rdsn3-2k12; mos-rdsn4-2k12; mos-rdsn5-2k12; mos-rdsn6-2k12; mos-rdsn7-2k12; mos-rdsn8-2k12; mos-rdsn9-2k12; mos-rdsn10-2k12; mos-rdsn11-2k12; mos-rdsn12-2k12; mos-rdsn13-2k12; mos-rdsn14-2k12; mos-rdsn15-2k12; mos-rdsn16-2k12	
DM_INLINE_SERVICE_17	Протокол TCP/UDP	50000-59999; 5061; 443	
DM_INLINE_TCP_23	Протокол TCP	80; 443	
DM_INLINE_TCP_25	Протокол TCP	80; 443	
Filials_1C_Servers	Группа IP адресов	10.7.233.4; 10.7.237.44; 10.7.66.102; 10.13.206.10; 10.7.235.243	
1C_Servers_Admins	Группа IP адресов	10.13.130.241; 10.5.168.115; 10.5.169.246; 10.13.128.201; 10.13.130.244; 10.13.131.114; 10.13.132.40; 10.5.169.18; 10.5.169.42; 10.13.130.164; 10.13.129.152	
Filials_Dislocation_Clients	Группа IP адресов	10.7.233.200; 10.7.233.94	
DM_INLINE_NETWORK_16	Группа IP адресов	10.7.233.200; 10.7.233.94	
DM_INLINE_TCP_27	Протокол TCP	Kaspersky;
Kaspersky_add	
Kaspersky_ADD_UDP	Протокол UDP	15000	
DM_INLINE_TCP_29	Протокол TCP	Kaspersky
Kaspersky_add	
MyArbitrPC	Группа IP адресов	10.13.132.144; 10.13.132.145; 10.13.132.146; 10.13.132.147	42254387
MyArbitrServers	Группа IP адресов	185.10.60.70; 185.10.60.91; 185.10.60.92; 84.201.140.29; 84.201.184.28	42254387
DiadocApp	Группа IP адресов	racnode1; racnode2; racnode1-vip; racnode2-vip; oracle-scan; oracle-scan_; oracle-scan__; mos-orcl7-2k12; mos-orcl8-2k12	
DM_INLINE_NETWORK_22	Группа IP адресов	10.13.131.67; 10.5.168.50	
DM_INLINE_TCP_26	Протокол TCP	80; 443	
DM_INLINE_NETWORK_23	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_24	Группа IP адресов	10.13.131.12; 10.5.168.50	
DM_INLINE_NETWORK_25	Группа IP адресов	mos-lic-2k12; RDS_Servers	
DM_INLINE_TCP_30	Протокол TCP	14080; 14180	
EHD_Filials_Servers	Группа IP адресов	10.7.233.26; 10.7.233.27; 10.7.65.18; 10.7.65.19; 10.7.237.71; 10.7.237.72; 10.13.204.5; 10.7.235.180; 10.7.235.181	42827753
DM_INLINE_TCP_28	Протокол TCP	10050; 10051	
DM_INLINE_SERVICE_5	Протокол TCP/ICMP	10050; 10051	
rds_tcp_range	Протокол TCP	49152-65535	
DM_INLINE_NETWORK_8	Группа IP адресов	10.7.67.21; 10.7.67.22; 10.7.66.23; Region_DNS_Servers	
DM_INLINE_NETWORK_17	Группа IP адресов	10.7.67.21; 10.7.67.22; 10.7.66.23; 10.7.233.233; 10.7.233.24; 10.7.237.2; 10.7.240.135	
DM_INLINE_NETWORK_13	Группа IP адресов	10.7.67.21; 10.7.67.22; 10.7.66.23; Region_DNS_Servers	
DM_INLINE_NETWORK_18	Группа IP адресов	10.7.67.21; 10.7.67.22; 10.7.66.23; 10.7.233.233; 10.7.233.24; 10.7.237.2; 10.7.237.67; 10.7.240.135	
DM_INLINE_NETWORK_19	Группа IP адресов	All_Filials; Amur_nets	
DM_INLINE_NETWORK_20	Группа IP адресов	10.7.67.21; 10.7.67.22; 10.7.66.23; Region_DNS_Servers	
DM_INLINE_NETWORK_21	Группа IP адресов	10.7.66.23; 10.7.67.21; 10.7.67.22; 10.7.233.233; 10.7.233.24; 10.7.237.2; 10.7.237.67; 10.7.240.135	
DM_INLINE_TCP_31	Протокол TCP	80; 443	
DLP_SI_multiport	Протокол TCP	1433; 1434; 3389; 8953; 9072; 9081; 9082; 9096; 9443; 9695; 443	DLP_SI_multiport
DM_INLINE_NETWORK_27	Группа IP адресов	10.5.169.53; 10.5.169.58	
DM_INLINE_NETWORK_28	Группа IP адресов	10.5.139.70; 10.5.139.72	
DLP_Agents	Группа IP адресов	10.13.128.136; 10.13.128.201; 10.13.128.238; 10.13.128.27; 10.13.129.253; 10.13.130.154; 10.13.130.178; 10.13.130.185; 10.13.130.187; 10.13.130.221; 10.13.130.225; 10.13.130.229; 10.13.130.54; 10.13.130.94; 10.13.131.110; 10.13.131.119; 10.13.131.144; 10.13.131.164; 10.13.131.167; 10.13.131.224; 10.13.131.232; 10.13.131.233; 10.13.131.240; 10.13.131.254; 10.13.131.53; 10.13.131.65; 10.13.131.90; 10.13.131.95; 10.13.131.96; 10.13.131.98; 10.13.132.131; 10.13.132.133; 10.13.132.134; 10.13.132.164; 10.13.132.168; 10.13.132.21; 10.13.132.31; 10.13.132.62; 10.13.132.71; 10.13.132.78; 10.5.168.117; 10.5.168.125; 10.5.168.194; 10.5.168.227; 10.5.168.230; 10.5.168.24; 10.5.168.60; 10.5.168.99; 10.5.169.173; 10.5.169.18; 10.5.169.199; 10.5.169.21; 10.5.169.241; 10.5.169.104; 10.13.131.222; 10.5.168.181; 10.13.132.130; 10.13.131.9; 10.5.168.190; 10.5.168.159; 10.5.169.80; 10.5.169.193; 10.13.130.79; 10.5.169.78; 10.13.132.86; 10.5.169.42; 10.13.128.35; 10.5.169.93; 10.5.169.77; 10.13.130.148; 10.5.169.63; 10.13.132.210; 10.13.131.185; 10.13.132.214; 10.13.129.217; 10.13.129.145; 10.5.169.226; 10.13.131.71; 10.13.130.224; 10.13.132.103; 10.13.132.19	
DM_INLINE_NETWORK_29	Группа IP адресов	10.13.131.103; 10.5.169.93	
DSS_Admins	IP адрес	ws-sand	
DM_INLINE_NETWORK_85	Группа IP адресов	DSS_Admins; DSS_Clients	
DLP_SI_Agents_Port	Протокол TCP/UDP	135; 137; 138; 139; 445; 53	
DLP_Agent_Ports	Протокол TCP	1344; 4444; 9400	
DLP_FileCrawler_Ports	Протокол TCP/UDP	135; 137; 139; 445	
DM_INLINE_TCP_33 tcp	Протокол TCP	8082; 80	
DM_INLINE_SERVICE_33	Протокол TCP/UDP	53; 389; 445; 389	
DLP_Multi_Ports tcp	Протокол TCP	10000; 10001; 10050; 1010; 1025; 11344; 16379; 2210; 2211; 2212; 2264; 2266; 2268; 2269; 2272; 2344; 3000; 3001; 3002; 3003; 3004; 3006; 3010; 3030; 3268; 3900; 4444; 5001; 5434; 5435; 5439; 5440; 5445; 5555; 5558; 61616; 7001; 7199; 7837; 8008; 8080; 8123; 9000; 9001; 9042; 9160; 9200; 9201; 9301; 9302; 9303; 9400; 9401; 9666; 9998; 443; 389; 25; 22	
DM_INLINE_NETWORK_32	Группа IP адресов	All_Filials; Amur_nets	
DM_INLINE_TCP_32	Протокол TCP	3268; 389	
DM_INLINE_TCP_34	Протокол TCP	8530; 8531	
DM_INLINE_NETWORK_34	Группа IP адресов	10.13.130.186; 10.13.131.118; 10.13.130.75	
DM_INLINE_NETWORK_33	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials	
EDO.ETPGPB_Clients	Группа IP адресов	10.13.128.172; 10.13.129.155; 10.13.129.254; 10.13.130.165; 10.13.130.200; 10.13.130.224; 10.13.130.64; 10.13.131.102; 10.13.131.63; 10.5.168.29	45859621
DM_INLINE_NETWORK_36	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials	
DM_INLINE_NETWORK_37	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials	
DM_INLINE_NETWORK_38	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials	
DM_INLINE_TCP_43	Протокол TCP	3389; 443	
DM_INLINE_TCP_35	Протокол TCP	RDGroup; 135; 5985	
DM_INLINE_TCP_36	Протокол TCP	AD_trust_ports_TCP; RDGroup; 123; 464	
DM_INLINE_UDP_1	Протокол UDP	AD_trust_ports_UDP; 123	
DM_INLINE_TCP_37	Протокол TCP	1688; 5985; 135	
DM_INLINE_TCP_38 	Протокол TCP	10050; 10051	
DM_INLINE_TCP_39	Протокол TCP	Kaspersky;
Kaspersky_add	
DM_INLINE_NETWORK_39	Группа IP адресов	All_Filials; Amur_nets	
DM_INLINE_NETWORK_40	Группа IP адресов	10.13.130.72; 10.13.130.73	
DM_INLINE_TCP_40	Протокол TCP	465; 8010; 8100; 9010; 9100; 443; 5060; 25	
DM_INLINE_SERVICE_8	Протокол TCP/UDP	443; 50000-59999; 5350-5390; 5061	
DM_INLINE_TCP_41	Протокол TCP	50000-59999; 5061; 5350-5390; 443	
DM_INLINE_NETWORK_44	Группа IP адресов	10.5.168.30; Ex	
DM_INLINE_NETWORK_41	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials	
DM_INLINE_UDP_2	Протокол UDP	3389; 3391	
GVC_INFORM_Clients	Группа IP адресов	10.13.128.38; 10.13.132.127; 10.13.130.155; 10.13.131.71; 10.5.168.29; 10.5.169.226; 10.13.130.234; 10.13.132.185	
DM_INLINE_TCP_44	Протокол TCP	1433; 1550; 1560-1800	
GPI_Users	Группа IP адресов	GP_Inform; 10.13.93.118; 10.13.93.131; 10.13.93.132; 10.13.93.90; 10.13.93.91	
DM_INLINE_TCP_45	Протокол TCP	445; 139; 135	
DM_INLINE_NETWORK_42	Группа IP адресов	10.13.128.153; 10.13.129.70	
DM_INLINE_NETWORK_43	Группа IP адресов	racnode1; racnode1-vip; racnode2; racnode2-vip	
DM_INLINE_TCP_42	Протокол TCP	443; 25	
DM_INLINE_NETWORK_26	Группа IP адресов	mos-orcl7-2k12; mos-orcl8-2k12	
DM_INLINE_NETWORK_30	Группа IP адресов	mos-build-2k12.gptrans.gazprom.ru; mos-ci-el7.gptrans.gazprom.ru; wdoc.gptrans.gazprom.ru	
DM_INLINE_NETWORK_31	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials	
DM_INLINE_SERVICE_10	Протокол TCP/UDP	50000-59999; 5061; 443	
DM_INLINE_TCP_46 tcp	Протокол TCP	80; 443	
DM_INLINE_SERVICE_6	Протокол TCP/ICMP	 8082	
DM_INLINE_NETWORK_45	Группа IP адресов	10.13.128.16; 10.13.132.24; 10.13.132.45; 10.5.168.150; 10.5.169.247; 10.5.168.115	
DM_INLINE_NETWORK_46	Группа IP адресов	10.7.233.9; 10.7.233.25	
DM_INLINE_NETWORK_48	Группа IP адресов	10.14.93.121; 10.14.93.122	
DM_INLINE_NETWORK_47	Группа IP адресов	10.13.128.16; 10.13.132.24; 10.13.132.45; 10.5.168.115; 10.5.168.150; 10.5.169.247	
DM_INLINE_NETWORK_49	Группа IP адресов	10.13.128.16; 10.13.132.24; 10.13.132.45; 10.5.168.115; 10.5.168.150; 10.5.169.247	
Panorama_Clients	Группа IP адресов	10.14.88.65; 10.13.204.167; 10.7.233.87; 10.7.235.226; 10.7.237.116; 10.7.66.69; 10.7.237.14	45524377
Optimacros_users	Группа IP адресов	10.13.204.176; 10.13.206.140	45767770
DM_INLINE_NETWORK_50	Группа IP адресов	All_Filials; Amur_nets	
DM_INLINE_TCP_51 	Протокол TCP	80; 443	
DM_INLINE_TCP_47	Протокол TCP	80; 443	
DM_INLINE_NETWORK_51	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials; Amur_nets	
DM_INLINE_TCP_48	Протокол TCP	3389; 443	
DM_INLINE_NETWORK_52	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials; Amur_nets	
DM_INLINE_NETWORK_53	Группа IP адресов	MOS-ETRTS1-2K12; mos-rdsn7-2k12	
DM_INLINE_NETWORK_54	Группа IP адресов	MOS-ETRTS1-2K12; mos-rdsn7-2k12	
DM_INLINE_NETWORK_55	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials; Amur_nets	
DM_INLINE_NETWORK_57	Группа IP адресов	10.13.129.141; 10.13.129.142; 10.13.129.185; 10.13.129.226	
DM_INLINE_NETWORK_56	Группа IP адресов	All_Filials; Amur_nets	
DM_INLINE_TCP_50	Протокол TCP	443; 80	
DM_INLINE_TCP_58	Протокол TCP	10080; 9980	
DM_INLINE_NETWORK_58	Группа IP адресов	10.7.237.101; 10.7.237.160; 10.7.237.163	
DM_INLINE_NETWORK_59	Группа IP адресов	10.13.131.126; 10.13.132.97	
DM_INLINE_NETWORK_60	Группа IP адресов	10.13.131.126; 10.13.132.97	
DM_INLINE_TCP_49	Протокол TCP	135; 1688; 5985	
DM_INLINE_SERVICE_12	Протокол TCP/UDP	53; 445; 389; 88	
DM_INLINE_NETWORK_62	Группа IP адресов	10.5.139.66; 10.5.139.68; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_NETWORK_63	Группа IP адресов	10.5.139.66; 10.5.139.68; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_NETWORK_64	Группа IP адресов	10.5.139.66; 10.5.139.68; mos-rdsn11-2k12; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_TCP_64	Протокол TCP	123; 464	
DM_INLINE_NETWORK_69	Группа IP адресов	10.5.139.66; 10.5.139.68; 10.5.139.69	
DM_INLINE_NETWORK_65	Группа IP адресов	10.5.139.66; 10.5.139.68; mos-rdsn11-2k12; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_NETWORK_66	Группа IP адресов	10.5.139.66; 10.5.139.68; mos-rdsn11-2k12; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_NETWORK_67	Группа IP адресов	10.5.139.66; 10.5.139.68; mos-rdsn11-2k12; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_NETWORK_68	Группа IP адресов	10.5.139.66; 10.5.139.68; mos-rdsn11-2k12; mos-ad4-2k12; mos-vnadm2-2k12; ZecurionDLP_Server	
DM_INLINE_TCP_52	Протокол TCP	135; 1688	
DM_INLINE_NETWORK_61	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_70	Группа IP адресов	AD; Moscow_nets	
DM_INLINE_TCP_53	Протокол TCP	8080; ssh	
px1	Группа IP адресов	10.56.140.209; 10.56.140.210; 10.56.140.211; 10.56.140.212; 10.56.140.213	IUS NK Servers
tx4	Группа IP адресов	10.56.154.35; 10.56.154.36	IUS NK Servers
qx1	Группа IP адресов	10.56.166.209; 10.56.166.210; 10.56.166.211; 10.56.166.212; 10.56.166.213	IUS NK Servers
qx4	Группа IP адресов	10.56.178.110; 10.56.178.111; 10.56.178.112	IUS NK Servers
dx1	Группа IP адресов	10.56.164.209; 10.56.164.210; 10.56.164.211	IUS NK Servers
px4	Группа IP адресов	10.56.154.32; 10.56.154.33; 10.56.154.34	IUS NK Servers
DM_INLINE_NETWORK_71	Группа IP адресов	px1; px4; tx4	
DM_INLINE_NETWORK_72	Группа IP адресов	dx1; qx1; qx4	
DM_INLINE_NETWORK_73	Группа IP адресов	px4; tx4	
DM_INLINE_NETWORK_74	Группа IP адресов	dx1; qx1	
DM_INLINE_NETWORK_75	Группа IP адресов	10.13.129.0; mos-1c8-2k8	
DM_INLINE_NETWORK_76	Группа IP адресов	10.13.129.0; mos-1c8-2k8	
DM_INLINE_NETWORK_77	Группа IP адресов	10.13.129.0; 10.5.168.94	
DM_INLINE_NETWORK_78	Группа IP адресов	10.13.129.0; 10.5.168.94	
DM_INLINE_SERVICE_80	Протокол TCP/UDP	50001; 50001	
IUS_NK_Prod_Users	Группа IP адресов	10.13.129.123; 10.13.129.168; 10.13.129.203; 10.13.129.220; 10.13.129.84; 10.13.130.215; 10.13.130.231; 10.13.130.36; 10.13.130.94; 10.13.131.182; 10.13.131.96; 10.13.132.117; 10.13.132.119; 10.13.132.131; 10.13.132.134; 10.13.132.142; 10.5.168.120; 10.5.168.21; 10.5.169.143; 10.5.169.208; 10.13.130.91; ws-shie	
DM_INLINE_NETWORK_35	Группа IP адресов	ASUP_PD; IUS_NK_Prod_Users	
DM_INLINE_NETWORK_79	Группа IP адресов	VNAdm; mos-ad4-2k12; mos-vnadm2-2k12; ZecurionDLP_Server	
DM_INLINE_NETWORK_80	Группа IP адресов	VNAdm; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_NETWORK_81	Группа IP адресов	VNAdm; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_NETWORK_82	Группа IP адресов	VNAdm; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_NETWORK_83	Группа IP адресов	VNAdm; mos-ad4-2k12; mos-vnadm2-2k12	
DM_INLINE_NETWORK_84	Группа IP адресов	mos-ad4-2k12; mos-rdsn11-2k12; mos-vnadm2-2k12	
DM_INLINE_SERVICE_13	Протокол TCP/ICMP	10050; 10051	
DM_INLINE_NETWORK_86	Группа IP адресов	DSS_Admins; DSS_Clients	
DM_INLINE_SERVICE_15	Протокол TCP/ICMP	8082	
DM_INLINE_TCP_24 tcp	Протокол TCP	465; 25	
DM_INLINE_TCP_54 tcp	Протокол TCP	8080; 8081	
mos-1c7-2k3-group	Группа IP адресов	PROTON; mos-1cterm-2k3; mos-hasp-8	
DM_INLINE_SERVICE_11	Протокол TCP/ICMP	10050; 10051	
DM_INLINE_TCP_55	Протокол TCP	10050; 10051	
DM_INLINE_TCP_56	Протокол TCP	Kaspersky;
Kaspersky_add	
DM_INLINE_NETWORK_87	Группа IP адресов	10.13.131.56; 10.5.169.213	
DM_INLINE_SERVICE_14	Протокол IP/TCP/UDP	3020; 443; 389	
