Имя объекта	Тип объекта	Содержание	Коментарий
SafaryanKG	Ip адрес	10.5.168.124	
KuzminAA	Ip адрес	10.13.132.133	
KosovcevaEN	Ip адрес	10.13.131.144	
NilokaevaIA	Ip адрес	10.5.168.21	
GorshkovDV	Ip адрес	10.13.131.166	
ZaytcevaMA	Ip адрес	10.13.128.100	
ws-evf	Ip адрес	10.13.131.148	
ATS_Net	Группа ip адресов	10.13.142.0 255.255.254.0	
OdinecNV	Ip адрес	10.13.130.226	
GP	Группа ip адресов	10.36.128.0 255.255.192.0	
mos-lic-2k12	Ip адрес	10.13.131.215	
mos-rdgw-2k12	Ip адрес	10.5.139.117	TS Gateway server
mos-rdsn1-2k12	Ip адрес	10.13.130.245	
mos-rdsn2-2k12	Ip адрес	10.13.129.244	
mos-rdsn3-2k12	Ip адрес	10.13.131.83	
mos-rdsn4-2k12	Ip адрес	10.13.131.40	
mos-1c81t-2k8	Ip адрес	10.13.130.7	
mos-rdsn5-2k12	Ip адрес	10.5.169.50	
mos-rdsn6-2k12	Ip адрес	10.5.169.43	
mos-rdsn7-2k12	Ip адрес	10.5.169.2	
mos-rdsn8-2k12	Ip адрес	10.5.169.26	
mos-rdsn9-2k12	Ip адрес	10.5.169.56	
WSUS_Uhta	Ip адрес	10.7.235.174	
mos-rdsn10-2k12	Ip адрес	10.13.131.59	
racnode1	Ip адрес	10.13.129.141	
racnode2	Ip адрес	10.13.129.142	
racnode1-vip	Ip адрес	10.13.129.221	
racnode2-vip	Ip адрес	10.13.129.222	
oracle-scan	Ip адрес	10.13.129.140	
oracle-scan_	Ip адрес	10.13.129.224	
oracle-scan__	Ip адрес	10.13.129.147	
mos-orcl8-2k12	Ip адрес	10.13.129.185	
mos-orcl7-2k12	Ip адрес	10.13.129.226	
mos-tzs-el7	Ip адрес	10.13.130.166	
SUR-1C8-2K8	Ip адрес	10.7.237.44	
GP_Inform	Ip адрес	10.241.1.2	
mos-rdsn11-2k12	Ip адрес	10.5.139.67	
mos-1c83-2k12	Ip адрес	10.5.168.94	
SHatskihLV	Ip адрес	10.13.131.224	
KuzinaTO	Ip адрес	10.13.132.153	
mos-ci-el7.gptrans.gazprom.ru	Ip адрес	10.13.130.196	mos-ci-el7.gptrans.gazprom.ru
mos-rep-ol7.gptrans.gazprom.ru	Ip адрес	10.13.129.148	mos-rep-ol7.gptrans.gazprom.ru
wdoc.gptrans.gazprom.ru	Ip адрес	10.13.130.186	wdoc.gptrans.gazprom.ru
mos-build-2k12.gptrans.gazprom.ru	Ip адрес	10.13.129.236	mos-build-2k12.gptrans.gazprom.ru
Kravtsev_IA_Astrakhans_WS	Ip адрес	10.7.233.232	Kravtsev_IA_Astrakhans_WS
kiap-web.ss.gazprom.ru	Ip адрес	10.83.241.76	kiap-web.ss.gazprom.ru
EDO.ETPGPB.RU	Ip адрес	87.245.170.26	
ws-ivd	Ip адрес	10.13.130.231	
ws-vgg	Ip адрес	10.13.131.37	
ws-miis	Ip адрес	10.13.129.211	
mos-lync2-2k12	Ip адрес	10.5.168.116	
mos-lync1-2k12	Ip адрес	10.13.128.204	
mos-iistst-2k12	Ip адрес	10.5.169.205	
mos-1c8-2k8	Ip адрес	10.5.168.52	
srdi01.dc-gpi.gazprom.ru	Ip адрес	10.57.8.10	
ws-vks438	Ip адрес	10.13.130.91	
mos-vnadm2-2k12	Ip адрес	10.5.139.69	
mos-ad4-2k12	Ip адрес	10.5.139.83	
ws-shie	Ip адрес	10.13.132.31	
